Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
120929094,"2026-02-09 16:04:04",buy,0.5,GBPUSD,1.36375000,1.36184,1.38679000,"2026-02-10 12:30:51",1.36595000,-2.68,-2.5,110.00000000,22,73607
120743175,"2026-02-09 08:36:03",buy,0.5,GBPUSD,1.36168000,1.35054,0,"2026-02-10 12:30:48",1.36595000,-2.68,-2.5,213.50000000,42.7,100485
121131478,"2026-02-10 02:06:04",buy,1,NZDCHF,0.46433000,0.46254,0,"2026-02-10 11:20:16",0.46301000,0,-5,-172.34000000,-13.2,33252
121201786,"2026-02-10 08:01:33",buy,0.06,XAUUSD,5039.28000000,5010.25,0,"2026-02-10 09:35:38",5031.35000000,0,-0.42,-47.58000000,-7.9,5645
121201813,"2026-02-10 08:01:38",buy,0.06,XAUUSD,5040.50000000,5010.17,0,"2026-02-10 09:35:31",5032.00000000,0,-0.42,-51.00000000,-8.5,5633
121204060,"2026-02-10 08:51:16",buy,0.1,XAUUSD,5025.88000000,5010.38,0.00000000,"2026-02-10 09:35:27",5031.57000000,0,-0.7,56.90000000,5.7,2651
121172374,"2026-02-10 05:11:51",buy,0.06,XAGUSD,81.73600000,80.729,0,"2026-02-10 07:27:24",80.63600000,0,-0.34,-330.00000000,-1.1,8133
121156559,"2026-02-10 05:15:12",buy,0.06,XAGUSD,81.48600000,80.709,0.00000000,"2026-02-10 07:27:24",80.63600000,0,-0.34,-255.00000000,-0.9,7932
120948562,"2026-02-09 16:33:13",buy,0.5,XCUUSD,588.69000000,588.38,607.66000000,"2026-02-10 07:25:24",588.37000000,-7.37,-0.42,-16.00000000,-0.3,53531
121130376,"2026-02-10 02:02:20",buy,1,EURJPY,185.91300000,185.419,0,"2026-02-10 03:48:40",185.41900000,0,-5,-317.31000000,-49.4,6380
121131372,"2026-02-10 02:05:25",buy,1,AUDJPY,110.65100000,110.313,0,"2026-02-10 03:46:16",110.31400000,0,-5,-216.35000000,-33.7,6051
121012986114333700,"2026-02-09 19:59:03",buy,0.05,XAUUSD,5041.46000000,5041.38,5088.38000000,"2026-02-09 21:36:37",5076.68000000,0,-0.35666667,176.10000000,35.2,5854
121012986,"2026-02-09 19:59:03",buy,0.1,XAUUSD,5041.46000000,5041.38,5088.38000000,"2026-02-09 21:31:24",5075.40000000,0,-0.71333333,339.40000000,33.9,5541
120874475,"2026-02-09 16:06:39",buy,0.8,GBPUSD,1.36301000,1.36194,0,"2026-02-09 21:07:27",1.36858000,0,-4,445.60000000,55.7,18048
120927035,"2026-02-09 16:00:40",buy,0.5,XCUUSD,588.41000000,588.28,607.83000000,"2026-02-09 20:19:57",594.82000000,0,-0.42,320.50000000,6.4,15557
120858914,"2026-02-09 13:16:17",sell,2,USDCHF,0.77189000,0.77097,0.76951000,"2026-02-09 15:02:46",0.76998000,0,-10,496.12000000,19.1,6389
120744860,"2026-02-09 08:42:18",buy,0.2,XAUUSD,5031.01000000,5012.32,5088.54000000,"2026-02-09 09:14:02",5011.83000000,0,-1.4,-383.60000000,-19.2,1904
